Date,Clicks,Impressions,CTR,Position
2026-04-09,5,3274,0.15%,10.8
2026-04-10,2,3262,0.06%,9.8
2026-04-11,3,2806,0.11%,13.5
2026-04-12,3,2790,0.11%,13.2
2026-04-13,6,3043,0.2%,11.7
2026-04-14,8,3175,0.25%,11.8
2026-04-15,2,3254,0.06%,12.1
2026-04-16,8,3344,0.24%,12.5
2026-04-17,4,2840,0.14%,13.8
2026-04-18,3,3011,0.1%,11.7
2026-04-19,5,2464,0.2%,11.8
2026-04-20,6,3008,0.2%,11.8
2026-04-21,1,2969,0.03%,11.5
2026-04-22,14,2983,0.47%,11.1
2026-04-23,3,2681,0.11%,12.4
2026-04-24,4,2353,0.17%,11.7
2026-04-25,6,2576,0.23%,12.9
2026-04-26,5,2416,0.21%,12.3
2026-04-27,6,2856,0.21%,12
2026-04-28,3,2750,0.11%,11.7
2026-04-29,4,2833,0.14%,12.7
2026-04-30,7,3007,0.23%,10.6
2026-05-01,4,3142,0.13%,10.2
2026-05-02,1,2873,0.03%,11.7
2026-05-03,2,2016,0.1%,14.9
2026-05-04,5,2135,0.23%,11.7
2026-05-05,3,2301,0.13%,11.3
2026-05-06,8,2170,0.37%,12.7
2026-05-07,6,2090,0.29%,13.2
2026-05-08,7,1861,0.38%,14
2026-05-09,3,1344,0.22%,13.6
2026-05-10,3,1568,0.19%,13.6
2026-05-11,6,1729,0.35%,15
2026-05-12,2,1755,0.11%,19.1
2026-05-13,3,1954,0.15%,23.1
2026-05-14,6,2547,0.24%,24.6
2026-05-15,2,2212,0.09%,19.1
2026-05-16,1,1306,0.08%,21.4
2026-05-17,0,1491,0%,23.8
2026-05-18,4,1132,0.35%,27.5
2026-05-19,3,626,0.48%,37.1
2026-05-20,1,634,0.16%,39.9
2026-05-21,2,718,0.28%,40.4
2026-05-22,4,718,0.56%,35.2
2026-05-23,5,823,0.61%,34.9
2026-05-24,2,1349,0.15%,37.1
2026-05-25,6,1246,0.48%,24.3
2026-05-26,3,1660,0.18%,27.8
2026-05-27,8,1510,0.53%,26.2
2026-05-28,6,1561,0.38%,24.8
2026-05-29,6,1727,0.35%,18.6
2026-05-30,2,2142,0.09%,14.5
2026-05-31,4,2290,0.17%,15.9
2026-06-01,8,1913,0.42%,17.2
2026-06-02,12,1268,0.95%,18.7
2026-06-03,8,1248,0.64%,18.8
2026-06-04,14,1852,0.76%,21.2
2026-06-05,8,1543,0.52%,19.2
2026-06-06,5,1315,0.38%,19
2026-06-07,6,1666,0.36%,27.7
2026-06-08,12,1651,0.73%,17.1
2026-06-09,9,2012,0.45%,19.6
2026-06-10,10,1674,0.6%,17.6
2026-06-11,14,1573,0.89%,20.3
2026-06-12,6,1431,0.42%,18.2
2026-06-13,3,1290,0.23%,20.9
2026-06-14,8,1889,0.42%,28.1
2026-06-15,10,2091,0.48%,24.1
2026-06-16,16,2457,0.65%,20.1
2026-06-17,6,1933,0.31%,17.5
2026-06-18,9,1953,0.46%,21
2026-06-19,6,1852,0.32%,21.1
2026-06-20,2,1325,0.15%,20.9
2026-06-21,8,1812,0.44%,29
2026-06-22,11,2020,0.54%,19.4
2026-06-23,12,2656,0.45%,18.2
2026-06-24,10,2151,0.46%,25.7
2026-06-25,9,2016,0.45%,26.9
2026-06-26,11,1726,0.64%,21.5
2026-06-27,10,1972,0.51%,23.6
2026-06-28,6,1713,0.35%,21
2026-06-29,14,2169,0.65%,17.2
2026-06-30,9,2417,0.37%,17.4
2026-07-01,7,1834,0.38%,16.3
2026-07-02,9,1897,0.47%,20
2026-07-03,11,1411,0.78%,19.9
2026-07-04,6,1229,0.49%,21.2
2026-07-05,5,1842,0.27%,32.4
2026-07-06,14,1755,0.8%,17.5
2026-07-07,7,2113,0.33%,20
2026-07-08,15,1906,0.79%,22.3