Date,Affected pages
2026-04-17,70
2026-04-18,77
2026-04-19,77
2026-04-20,77
2026-04-21,119
2026-04-22,119
2026-04-23,119
2026-04-24,119
2026-04-25,195
2026-04-26,195
2026-04-27,195
2026-04-28,272
2026-04-29,272
2026-04-30,272
2026-05-01,272
2026-05-02,326
2026-05-03,326
2026-05-04,326
2026-05-05,397
2026-05-06,397
2026-05-07,397
2026-05-08,397
2026-05-09,448
2026-05-10,448
2026-05-11,448
2026-05-12,526
2026-05-13,526
2026-05-14,526
2026-05-15,526
2026-05-16,566
2026-05-17,566
2026-05-18,566
2026-05-19,351
2026-05-20,351
2026-05-21,351
2026-05-22,351
2026-05-23,253
2026-05-24,253
2026-05-25,253
2026-05-26,140
2026-05-27,140
2026-05-28,140
2026-05-29,140
2026-05-30,140
2026-05-31,140
2026-06-01,140
2026-06-02,210
2026-06-03,210
2026-06-04,210
2026-06-05,210
2026-06-06,195
2026-06-07,195
2026-06-08,195
2026-06-09,213
2026-06-10,213
2026-06-11,213
2026-06-12,213
2026-06-13,213
2026-06-14,213
2026-06-15,213
2026-06-16,213
2026-06-17,213
2026-06-18,213
2026-06-19,213
2026-06-20,213
2026-06-21,213
2026-06-22,213
2026-06-23,213
2026-06-24,213
2026-06-25,213
2026-06-26,213
2026-06-27,213
2026-06-28,213
2026-06-29,213
2026-06-30,213
2026-07-01,2666
2026-07-02,2666
2026-07-03,2666
2026-07-04,2666
2026-07-05,2666
2026-07-06,2666
2026-07-07,2666
2026-07-08,2666
2026-07-09,2666
2026-07-10,2666